,id_hdv,part_rec,party_memb,party_ocup,party_start,party_end
329,0-84-3,1,PARTIDO POLÍTICO RENOVACION NACIONAL ,"MIEMBRO DEL COMITE DEL DPTO LIMA, PROVINCIA LIMA, DISTRITO SAN ISIDRO ",2004 ,2012 
330,0-84-4,1, , , , 
331,0-85-1,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL DEPARTAMENTAL ,1994 ,1995 
332,0-85-1,2,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL REGIONAL ,2018 ,HASTA LA ACTUALIDAD
333,0-85-2,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIA DE JUVENTUDES DISTRITAL ,2001 ,2002 
334,0-85-2,2,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIA GENERAL DISTRITAL MARIANO MELGAR ,2014 ,HASTA LA ACTUALIDAD
335,0-85-3,1, , , , 
336,0-85-4,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,VICE PRESIDENTE TRIBUNAL REGIONAL DE ÉTICA Y MORAL ,2015 ,2017 
337,0-85-5,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO DE ORGANIZACIÓN DISTRITAL ALTO SELVA ALEGRE ,2015 ,HASTA LA ACTUALIDAD
338,0-85-6,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIA REGIONAL DE JUVENTUDES ,2018 ,HASTA LA ACTUALIDAD
339,0-86-2,1, , , , 
340,0-86-3,1, , , , 
341,0-87-1,1, , , , 
342,0-87-2,1, , , , 
343,0-87-3,1, , , , 
344,0-87-4,1,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIO REGIONAL ,2017 ,2019 
345,0-87-5,1, , , , 
346,0-87-6,1, , , , 
347,0-87-7,1, , , , 
348,0-88-1,1, , , , 
349,0-88-2,1, , , , 
350,0-89-1,1, , , , 
351,0-89-2,1,PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO ,RESPONSABLE POLÍTICO REGIONAL DE AMAZONAS ,2015 ,2016 
352,0-89-3,1, , , , 
353,0-95-2,1,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIA GENERAL REGIONAL ,2015 ,HASTA LA ACTUALIDAD
354,0-95-2,2,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIA REGIONAL DE LA MUJER ,2007 ,2014 
355,0-95-3,1, , , , 
356,0-95-4,1,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIO COMANDO UNIVERSITARIO ,2015 ,2018 
357,0-95-5,1, , , , 
358,0-95-6,1, , , , 
359,0-96-1,1, , , , 
360,0-96-2,1,PERÚ 2000 ,SECRETARIO DE ORGANIZACIÓN TARMA ,1999 ,2000 
361,0-96-2,2,VAMOS VECINO ,SECRETARIO GENERAL PROVINCIAL TARMA ,1998 ,1998 
362,0-96-3,1,PARTIDO POLÍTICO FUERZA POPULAR ,SECRETARIA GENERAL DISTRITAL ,2014 ,2018 
363,0-96-4,1,PARTIDO POLÍTICO FUERZA POPULAR ,SECRETARIA COORDINACIÓN REGIONAL ,2016 ,2019 
364,0-97-2,1,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO GENERAL ,2008 ,HASTA LA ACTUALIDAD
365,0-97-3,1,ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MOVIMIENTO INDEPENDIENTE POLITICO VILLA CAMBIA ,SECRETARIO GENERAL ,2018 ,2018 
366,0-97-3,2,ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MOVIMIENTO INDEPENDIENTE POLITICO VILLA CAMBIA ,SECRETARIO DE MOVILIZACION ,2014 ,2015 
367,0-97-4,1, , , , 
368,0-97-5,1, , , , 
369,0-97-6,1,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO NACIONAL DE PROYECTOS Y PLANES DE DESARROLLO ,2014 ,2019 
370,0-97-6,2,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO GENERAL DEPARTAMENTO DE LIMA ,2019 ,HASTA LA ACTUALIDAD
371,0-97-7,1, , , , 
372,0-97-9,1, , , , 
373,0-97-10,1, , , , 
374,0-97-11,1, , , , 
375,0-97-12,1, , , , 
376,0-97-13,1, , , , 
377,0-97-14,1, , , , 
378,0-97-16,1, , , , 
379,0-97-17,1,PARTIDO POLÍTICO PERU PATRIA SEGURA ,PERSONERO LEGAL ALTERNO ,2014 ,2019 
380,0-97-17,2,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO DEL COMITE DE ETICA Y DISCIPLINA ,2018 ,HASTA LA ACTUALIDAD
381,0-97-18,1, , , , 
382,0-97-19,1,PARTIDO POLÍTICO PERU PATRIA SEGURA ,MIEMBRO DE COMITE EJECUTIVO NACIONAL ,2016 ,HASTA LA ACTUALIDAD
383,0-97-19,2,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO DE GESTION AMBIENTAL ,2017 ,HASTA LA ACTUALIDAD
384,0-97-20,1, , , , 
385,0-97-23,1, , , , 
386,0-97-25,1, , , , 
387,0-97-26,1, , , , 
388,0-97-27,1,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARIO NACIONAL DE ECONOMIA ,2014 ,HASTA LA ACTUALIDAD
389,0-97-27,2,PARTIDO POLÍTICO PERU PATRIA SEGURA ,SECRETARÍA NACIONAL DE ACTAS Y ARCHIVOS ,2011 ,2014 
390,0-97-28,1, , , , 
391,0-97-29,1, , , , 
392,0-97-30,1, , , , 
393,0-97-31,1, , , , 
394,0-97-32,1, , , , 
395,0-97-33,1,PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO ,SECRETARIO DE ECONOMIA NACIONAL ,2006 ,2008 
396,0-97-34,1, , , , 
397,0-97-35,1, , , , 
398,0-97-36,1, , , , 
399,0-98-1,1,ALIANZA ELECTORAL ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP ,MILITANTE ,2018 ,2018 
400,0-98-2,1, , , , 
401,0-98-4,1, , , , 
402,0-98-5,1, , , , 
403,0-99-1,1,PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU ,SECRETARIO REGIONAL LAMBAYEQUE ,2019 ,HASTA LA ACTUALIDAD
404,0-99-2,1, , , , 
405,0-99-3,1, , , , 
406,0-99-4,1, , , , 
407,0-99-5,1, , , , 
408,0-100-1,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN ,FUNDADOR COORDINADOR PROVINCIAL ,2017 ,2019 
409,0-100-3,1, , , , 
410,0-100-4,1, , , , 
411,0-100-5,1, , , , 
412,0-101-1,1, , , , 
413,0-101-2,1,"PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",COORDINADOR PROVINCIAL ,2017 ,2018 
414,0-101-3,1,"PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",SECRETARIA DE ECONOMÍA ,2017 ,2018 
415,0-101-4,1,"PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",COORDINADOR PROVINCIAL - CAÑETE ,2019 ,HASTA LA ACTUALIDAD
416,0-102-1,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL DE LA JAP ILO ,1980 ,1981 
417,0-102-2,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL EL COMITÉ EJECUTIVO DISTRITAL ,2013 ,HASTA LA ACTUALIDAD
418,0-102-3,1, , , , 
419,0-103-1,1, , , , 
420,0-103-2,1, , , , 
421,0-103-3,1, , , , 
422,0-103-4,1, , , , 
423,0-103-5,1, , , , 
424,0-104-1,1,PARTIDO POLÍTICO RESTAURACION NACIONAL ,FUNDADORA - SECRETARIA GENERAL ,2001 ,2001 
425,0-104-3,1,PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL ,SECRETARIO NACIONAL DE ÉTICA Y DISCIPLINA ,2018 ,HASTA LA ACTUALIDAD
426,0-104-3,2,PARTIDO POLÍTICO FUERZA POPULAR ,PERSONERO LEGAL ALTERNO ,2009 ,2010 
427,0-104-4,1, , , , 
428,0-104-5,1,PARTIDO POLÍTICO SOLIDARIDAD NACIONAL ,SECRETARIO PROVINCIAL DE IDEOLOGÍA ,2013 ,2014 
429,0-104-7,1, , , , 
430,0-104-8,1, , , , 
431,0-104-9,1, , , , 
432,0-104-11,1, , , , 
433,0-104-12,1, , , , 
434,0-104-13,1, , , , 
435,0-104-14,1, , , , 
436,0-104-15,1, , , , 
437,0-104-17,1, , , , 
438,0-104-18,1, , , , 
439,0-104-19,1, , , , 
440,0-104-20,1, , , , 
441,0-104-21,1, , , , 
442,0-104-23,1, , , , 
443,0-104-24,1, , , , 
444,0-104-25,1, , , , 
445,0-104-26,1, , , , 
446,0-104-27,1, , , , 
447,0-104-28,1,PARTIDO POLÍTICO PERU AHORA ,SECRETARIO NACIONAL DE ASUNTOS REGIONALES Y MUNICIPALES ,2005 ,2006 
448,0-104-29,1, , , , 
449,0-104-30,1, , , , 
450,0-104-34,1, , , , 
451,0-104-36,1, , , , 
452,0-105-1,1, , , , 
453,0-105-2,1, , , , 
454,0-105-3,1, , , , 
455,0-106-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO DE ORGANIZACION Y PLANEAMIENTO DEL CALLAO ,2019 ,HASTA LA ACTUALIDAD
456,0-106-2,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA GENERAL DISTRITAL DE CERCADO CALLAO ,2019 ,HASTA LA ACTUALIDAD
457,0-106-3,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO REGIONAL DE FORMACIÓN DEL TALENTO ,2019 ,HASTA LA ACTUALIDAD
