,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
277,0-67-4,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO POLITICO NACIONAL PRIMERO PERU ,2003 ,2006 
278,0-68-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
279,0-68-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
280,0-68-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
281,0-68-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
282,0-69-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
283,0-69-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
284,0-69-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
285,0-69-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
286,0-70-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
287,0-70-2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA POPULAR ,2016 ,2019 
288,0-70-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
289,0-70-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
290,0-71-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
291,0-71-2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,2003 ,2006 
292,0-71-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
293,0-72-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
294,0-72-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
295,0-72-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
296,0-74-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
297,0-75-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
